store, title, price
NW,Produce Bananas kg,3.49
NW,Value Standard Milk 2l,3.41
NW,Butchery Skinless Chicken Breast kg,13.99
NW,Butchery NZ Beef Prime Mince kg,15.99
NW, Butchery NZ Beef Rump Steak kg,22.99
NW,Value Lite Milk 2l,3.41
NW,Produce Green Avocado ea,5.99
NW,Anchor Butter 500g,5.49
NW,Butchery NZ Premium Beef Mince kg,14.99
NW,Produce Broccoli ea,1.49
NW,Pams Butter 500g,5.59
NW,Butchery NZ Lamb Shoulder Chops kg,13.99
NW,Value Standard Milk 3L,5.08
NW,Anchor Blue Milk 2l,4.48
NW,Produce Red Tomatoes kg,3.99
NW,Seafood Bluff Salmon Fillet Skin On kg,33.99
NW,Produce Telegraph Cucumber ea,2.99
NW,Butchery NZ Lamb Leg Roast kg,18.99
NW,Produce Mandarins kg,6.99
NW,Butchery NZ Chicken Tenderloins kg,13.99
NW,Butchery NZ Beef Eye Fillet Steak kg,34.99
NW,Produce Bobby Bananas 850g,2.49
NW,Butchery NZ Beef Sirloin Steak kg,32.99
NW,Produce Navel Oranges kg,4.99
NW,Pams Cream 500ml,3.60
NW,Nature's Fresh White Toast Bread 700g,2.99
NW,Butchery NZ Pork Loin Chops kg,17.99
NW,Produce White Button Mushrooms kg,14.99
NW,Anchor Calci + Trim Milk 2l,5.28
NW,Beekist Angel Tomatoes 200g,4.99
NW,Butchery NZ Chicken Drumsticks kg,8.99
NW,Produce Red Capsicum ea,2.89
NW,Anchor Blue Milk 1l,2.82
NW,Anchor Lite Milk 2l,4.48
NW,Butchery NZ Lamb Loin Chops kg,29.99
NW,Molenberg Original Toast Bread 700g,3.29
NW,Value White Toast Bread 600g,1.00
NW,Pams Cream 300ml,2.45
NW,Produce Carrots kg,2.99
NW,Seafood Tarakihi Fillets kg,28.99
NW,Vogel's Original Mixed Grain Toast Bread 750g,4.69
NW,Produce Red Kumara kg,3.49
NW,Produce Fairtrade Bananas 850g,4.99
NW,Butchery Beef Corned Silverside kg,11.99
NW,Westgold Salted Butter 400g,4.49
NW,Tip Top Supersoft White Toast Bread 700g,3.49
NW,Produce Blueberries 125g,6.49
NW,Produce Royal Gala Apples kg,3.99
NW,Produce Green Courgettes kg,9.99
NW,Produce White Washed Potatoes kg,2.99
